name,gcode,r3_orbit,phi_sym,same_phi,cable_arr_poly,same_cable_arr_poly,outPoly,same_outpoly
5.93,O1O2O3U4U1O5O4U5U2U3,{'O1O2O3U4U1O5O4U5U2U3'},"[-2, 0, 0, 1, 1, 1, 1, 1, 1, -1, 0, 1, 1, 1, 1]",['5.93'],-16*K1**4 - 192*K1**2*K2**4 + 480*K1**2*K2**3 - 1600*K1**2*K2**2 - 64*K1**2*K2*K4 + 1488*K1**2*K2 - 16*K1**2*K3**2 - 1116*K1**2 + 320*K1*K2**3*K3 - 256*K1*K2**2*K3 - 96*K1*K2**2*K5 + 1384*K1*K2*K3 + 64*K1*K3*K4 + 8*K1*K4*K5 - 32*K2**6 + 64*K2**4*K4 - 520*K2**4 - 32*K2**3*K6 - 112*K2**2*K3**2 - 16*K2**2*K4**2 + 344*K2**2*K4 - 518*K2**2 + 56*K2*K3*K5 + 16*K2*K4*K6 - 324*K3**2 - 42*K4**2 - 8*K5**2 - 2*K6**2 + 736,['5.93'],t^{6} + 15 t^{4} + 17 t^{2} + 1,['5.93']
5.94,O1O2O3U4U1O5O4U5U3U2,{'O1O2O3U4U1O5O4U5U3U2'},"[-1, -1, 0, 1, 1, -1, 0, 1, 1, 0, 1, 2, 1, 1, 0]",['5.94'],-192*K1**4 + 32*K1**3*K2*K3 - 1024*K1**2*K2**2 - 32*K1**2*K2*K4 + 1560*K1**2*K2 - 64*K1**2*K3**2 - 1176*K1**2 - 160*K1*K2**2*K3 + 1320*K1*K2*K3 + 128*K1*K3*K4 - 112*K2**4 + 152*K2**2*K4 - 824*K2**2 - 392*K3**2 - 52*K4**2 + 834,['5.94'],t^{6} + 10 t^{4} + 12 t^{2} + 1,"['5.94', '7.45982']"
5.95,O1O2O3U4U2O5O4U1U5U3,{'O1O2O3U4U2O5O4U1U5U3'},"[-2, 0, 0, 0, 2, 0, 1, 1, 3, 0, 1, 1, 0, 1, 0]","['5.95', '6.1829']",-416*K2**4 + 336*K2**2*K4 + 80*K2**2 - 64*K4**2 + 62,['5.95'],t^{6} + 22 t^{4} + 24 t^{2},"['5.95', '6.1829', '7.44782']"
5.96,O1O2O3U4U2O5O4U5U1U3,{'O1O2O3U4U2O5O4U5U1U3'},"[-2, 0, 0, 1, 1, 0, 1, 1, 2, 0, 1, 1, 1, 1, -1]",['5.96'],-192*K1**4 + 64*K1**3*K2*K3 - 320*K1**2*K2**2 + 592*K1**2*K2 - 224*K1**2*K3**2 - 748*K1**2 + 1088*K1*K2*K3 + 256*K1*K3*K4 + 16*K1*K4*K5 - 56*K2**4 - 80*K2**2*K3**2 - 16*K2**2*K4**2 + 72*K2**2*K4 - 628*K2**2 + 80*K2*K3*K5 + 32*K2*K4*K6 - 504*K3**2 - 118*K4**2 - 28*K5**2 - 12*K6**2 + 724,['5.96'],t^{6} + 17 t^{4} + 14 t^{2},['5.96']
5.97,O1O2O3U4U3O5O4U5U1U2,{'O1O2O3U4U3O5O4U5U1U2'},"[-1, -1, 1, 1, -1, 1, 1, 1, 1, -1]","['4.5', '5.97', '6.2072']",-1152*K1**4 - 768*K1**2*K2**2 + 1280*K1**2*K2 + 208*K1**2 + 480*K1*K2*K3 - 48*K2**4 + 32*K2**2*K4 - 192*K2**2 - 48*K3**2 - 4*K4**2 + 210,['5.97'],t^{5} + 10 t^{3} + 5 t,"['4.5', '5.97', '6.831', '6.2072', '7.44283']"
5.98,O1O2O3U1U2O4U3O5U4U5,{'O1O2O3U1U2O4U3O5U4U5'},"[-2, 0, 0, 1, 1, 1, 1, 0, 2, -1, 1, -1, 0, 1, -1]",['5.98'],-32*K1**4 + 192*K1**2*K2**3 - 1008*K1**2*K2**2 - 64*K1**2*K2*K4 + 1336*K1**2*K2 - 1060*K1**2 + 792*K1*K2*K3 + 8*K1*K3*K4 - 216*K2**4 + 96*K2**2*K4 - 496*K2**2 - 164*K3**2 - 6*K4**2 + 620,['5.98'],t^{6} + 17 t^{4} + 26 t^{2} + 1,"['5.98', '7.42675']"
5.99,O1O2O3U1U3O4U2O5U4U5,{'O1O2O3U1U3O4U2O5U4U5'},"[-2, 0, 0, 1, 1, 0, 1, 2, 3, -1, 1, 0, 1, 0, 0]","['5.99', '7.33689', '7.39898']",96*K1**4*K2 - 432*K1**4 + 32*K1**3*K2*K3 - 272*K1**2*K2**2 + 728*K1**2*K2 - 48*K1**2*K3**2 - 380*K1**2 + 392*K1*K2*K3 + 24*K1*K3*K4 - 24*K2**4 + 40*K2**2*K4 - 384*K2**2 - 140*K3**2 - 18*K4**2 + 384,['5.99'],t^{6} + 15 t^{4} + 19 t^{2},"['5.99', '7.33689', '7.39898', '7.44754']"
5.100,O1O2O3U1U4O5U2O4U3U5,{'O1O2O3U1U4O5U2O4U3U5'},"[-2, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0]","['5.100', '7.38874', '7.39317', '7.40782']",32*K1**4*K2 - 624*K1**4 - 224*K1**3*K3 - 496*K1**2*K2**2 + 1896*K1**2*K2 - 48*K1**2*K3**2 - 1220*K1**2 + 936*K1*K2*K3 + 32*K1*K3*K4 - 24*K2**4 + 40*K2**2*K4 - 864*K2**2 - 284*K3**2 - 18*K4**2 + 864,['5.100'],t^{6} + 19 t^{4} + 11 t^{2} + 1,"['5.100', '7.27656', '7.39317', '7.40782']"
5.101,O1O2O3U1U4O5U3O4U2U5,{'O1O2O3U1U4O5U3O4U2U5'},"[-2, 0, 0, 1, 1, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0]","['5.101', '7.44781', '7.44829']",32*K1**4*K2 - 64*K1**4 - 64*K1**3*K3 + 128*K1**2*K2**3 - 592*K1**2*K2**2 + 1416*K1**2*K2 - 1220*K1**2 - 256*K1*K2**2*K3 + 824*K1*K2*K3 + 32*K1*K3*K4 - 216*K2**4 + 216*K2**2*K4 - 712*K2**2 - 236*K3**2 - 22*K4**2 + 732,['5.101'],t^{6} + 21 t^{4} + 12 t^{2} + 1,"['5.101', '7.34356', '7.44781']"
5.102,O1O2O3U2U1O4U3O5U4U5,{'O1O2O3U2U1O4U3O5U4U5'},"[-1, -1, 0, 1, 1, -1, -1, 1, 2, 1, 0, 0, 1, 1, 0]",['5.102'],96*K1**4*K2 - 320*K1**4 - 352*K1**2*K2**2 + 952*K1**2*K2 - 680*K1**2 + 456*K1*K2*K3 - 48*K2**4 + 32*K2**2*K4 - 480*K2**2 - 152*K3**2 - 4*K4**2 + 498,['5.102'],t^{6} + 14 t^{4} + 16 t^{2},['5.102']
5.103,O1O2O3U2U4O5U3O4U1U5,{'O1O2O3U2U4O5U3O4U1U5'},"[-1, -1, 0, 1, 1, -1, 0, 1, 2, 0, 1, 1, 1, 1, 0]",['5.103'],224*K1**4*K2 - 480*K1**4 - 320*K1**3*K3 + 96*K1**2*K2**3 - 640*K1**2*K2**2 + 1696*K1**2*K2 - 1216*K1**2 - 96*K1*K2**2*K3 + 1024*K1*K2*K3 + 24*K1*K3*K4 - 112*K2**4 + 112*K2**2*K4 - 792*K2**2 - 312*K3**2 - 28*K4**2 + 818,['5.103'],t^{6} + 14 t^{4} + 10 t^{2} + 1,['5.103']
