name,gcode,r3_orbit,phi_sym,same_phi,cable_arr_poly,same_cable_arr_poly,outPoly,same_outpoly
3.1,O1O2O3U1U3U2,{'O1O2O3U1U3U2'},"[-2, 1, 1, 1, 2, 0]","['3.1', '7.12954', '7.13941', '7.14231', '7.22204', '7.25402', '7.25412', '7.28695', '7.29545', '7.29559', '7.34157', '7.34327', '7.36751', '7.37569', '7.41772']",48*K1**2*K2 - 64*K1**2 + 32*K1*K2*K3 - 8*K2**4 + 8*K2**2*K4 - 40*K2**2 - 16*K3**2 - 2*K4**2 + 40,['3.1'],t^{4} + 11 t^{2} + 1,"['3.1', '7.12954', '7.13941', '7.14231', '7.22204', '7.25402', '7.25412', '7.28695', '7.29545', '7.29559', '7.34157', '7.34327', '7.36751', '7.37569', '7.41772']"
4.1,O1O2O3O4U1U2U4U3,{'O1O2O3O4U1U2U4U3'},"[-3, -1, 2, 2, 1, 2, 3, 1, 2, 0]",['4.1'],-128*K1**2*K2**2 + 48*K1**2*K2 - 88*K1**2 + 64*K1*K2**3*K3 + 224*K1*K2*K3 + 16*K1*K3*K4 - 32*K2**4 - 64*K2**2*K3**2 - 8*K2**2*K4**2 + 8*K2**2*K4 - 54*K2**2 + 16*K2*K3*K5 + 8*K2*K4*K6 - 88*K3**2 - 12*K4**2 - 2*K6**2 + 90,['4.1'],t^{5} + 37 t^{3} + 11 t,['4.1']
4.2,O1O2O3O4U1U3U4U2,{'O1O2O3O4U1U3U4U2'},"[-3, 0, 1, 2, 1, 3, 2, 1, 1, 1]","['4.2', '7.33612']",-32*K1**4 + 64*K1**2*K2**3 - 208*K1**2*K2**2 + 224*K1**2*K2 - 164*K1**2 + 32*K1*K2**3*K3 + 136*K1*K2*K3 + 8*K1*K3*K4 - 32*K2**6 + 32*K2**4*K4 - 88*K2**4 - 32*K2**2*K3**2 - 8*K2**2*K4**2 + 40*K2**2*K4 - 48*K2**2 + 8*K2*K3*K5 - 36*K3**2 - 14*K4**2 + 116,['4.2'],t^{5} + 31 t^{3} + 7 t,"['4.2', '6.335', '7.33612']"
4.3,O1O2O3O4U1U4U3U2,{'O1O2O3O4U1U4U3U2'},"[-3, 1, 1, 1, 1, 2, 3, 0, 0, 0]",['4.3'],-72*K1**2 + 96*K1*K2*K3 + 48*K1*K3*K4 - 8*K2**2*K4**2 + 40*K2**2*K4 - 86*K2**2 + 8*K2*K4*K6 - 72*K3**2 - 44*K4**2 - 2*K6**2 + 90,['4.3'],t^{5} + 26 t^{3} + 6 t,['4.3']
4.4,O1O2O3O4U2U1U4U3,{'O1O2O3O4U2U1U4U3'},"[-2, -2, 2, 2, 0, 1, 2, 2, 3, 0]",['4.4'],-128*K2**4 + 128*K2**2*K4 - 32*K4**2 + 30,['4.4'],t^{5} + 34 t^{3} + 17 t,['4.4']
4.5,O1O2O3O4U3U4U1U2,{'O1O2O3O4U3U4U1U2'},"[-1, -1, 1, 1, -1, 1, 1, 1, 1, -1]","['4.5', '5.97', '6.2072']",-256*K1**4 - 448*K1**2*K2**2 + 480*K1**2*K2 - 16*K1**2 + 256*K1*K2*K3 - 176*K2**4 + 96*K2**2*K4 - 16*K3**2 - 4*K4**2 + 82,['4.5'],t^{5} + 10 t^{3} + 5 t,"['4.5', '5.97', '6.831', '6.2072', '7.44283']"
4.6,O1O2O3U1O4U3U4U2,"{'O1O2O3U1O4U3U4U2', 'O1O2O3U1U2O4U3U4'}","[-2, 0, 1, 1, 1, 1, 2, 0, 0, -1]","['4.6', '6.1770', '6.1951', '7.43054', '7.44463']",-32*K1**4 - 48*K1**2*K2**2 + 128*K1**2*K2 - 84*K1**2 + 48*K1*K2*K3 - 8*K2**4 + 8*K2**2*K4 - 56*K2**2 - 12*K3**2 - 2*K4**2 + 56,['4.6'],t^{5} + 15 t^{3} + 3 t,"['4.6', '7.43054', '7.44463']"
4.7,O1O2O3U2O4U1U4U3,{'O1O2O3U2O4U1U4U3'},"[-2, -1, 1, 2, 0, 1, 3, 0, 1, 0]","['4.7', '5.62']",-64*K1**4 - 96*K1**2*K2**2 + 256*K1**2*K2 - 184*K1**2 + 112*K1*K2*K3 + 16*K1*K3*K4 - 16*K2**4 + 16*K2**2*K4 - 120*K2**2 - 40*K3**2 - 12*K4**2 + 130,['4.7'],t^{5} + 21 t^{3} + 5 t,['4.7']
4.8,O1O2O3U1U3O4U2U4,{'O1O2O3U1U3O4U2U4'},"[-2, 0, 1, 1, 0, 2, 2, 0, 1, 0]","['4.8', '7.44863']",-96*K1**4 - 112*K1**2*K2**2 + 248*K1**2*K2 - 172*K1**2 + 184*K1*K2*K3 + 24*K1*K3*K4 - 8*K2**4 + 16*K2**2*K4 - 144*K2**2 - 76*K3**2 - 18*K4**2 + 152,['4.8'],t^{5} + 13 t^{3} + 6 t,"['4.8', '7.44863']"
4.9,O1O2U1O3U2O4U3U4,{'O1O2U1O3U2O4U3U4'},"[-1, 0, 0, 1, 0, 0, 2, -1, 0, 0]","['4.9', '5.114', '6.2020', '7.44907', '7.45593']",-96*K1**4 + 176*K1**2*K2 - 80*K1**2 - 64*K2**2 + 62,"['4.9', '6.1990']",t^{5} + 7 t^{3} + 2 t,['4.9']
4.10,O1O2U1U2O3O4U3U4,{'O1O2U1U2O3O4U3U4'},"[-1, -1, 1, 1, 0, 0, 1, 1, 0, 0]","['4.10', '5.106', '6.2037']",-128*K1**4 - 192*K1**2*K2**2 + 288*K1**2*K2 - 80*K1**2 + 128*K1*K2*K3 - 48*K2**4 + 32*K2**2*K4 - 64*K2**2 - 16*K3**2 - 4*K4**2 + 82,['4.10'],t^{5} + 6 t^{3} + 5 t,"['4.10', '5.106', '6.2037']"
4.11,O1O2U1U3O4O3U2U4,{'O1O2U1U3O4O3U2U4'},"[-1, 0, 0, 1, 0, 0, 1, 0, 1, 1]","['4.11', '6.1244', '6.2058', '7.45753']",-192*K1**4 - 224*K1**2*K2**2 + 480*K1**2*K2 - 208*K1**2 + 176*K1*K2*K3 - 48*K2**4 + 32*K2**2*K4 - 152*K2**2 - 32*K3**2 - 4*K4**2 + 170,['4.11'],t^{5} + 5 t^{3} + 2 t,"['4.11', '6.1244', '6.2058', '7.45753']"
5.1,O1O2O3O4O5U1U2U3U5U4,{'O1O2O3O4O5U1U2U3U5U4'},"[-4, -2, 0, 3, 3, 1, 2, 3, 4, 1, 2, 3, 1, 2, 0]",['5.1'],-128*K1**4 - 512*K1**2*K2**4 + 192*K1**2*K2**3 - 320*K1**2*K2**2 + 336*K1**2*K2 - 304*K1**2 + 256*K1*K2**5*K3 + 512*K1*K2**3*K3 + 416*K1*K2*K3 + 96*K1*K3*K4 - 128*K2**6 - 256*K2**4*K3**2 - 32*K2**4*K4**2 + 32*K2**4*K4 - 32*K2**4 + 64*K2**3*K3*K5 + 32*K2**3*K4*K6 - 192*K2**2*K3**2 - 32*K2**2*K4**2 + 40*K2**2*K4 - 8*K2**2*K6**2 - 116*K2**2 + 32*K2*K3*K5 + 16*K2*K4*K6 - 192*K3**2 - 66*K4**2 - 4*K6**2 + 296,['5.1'],t^{6} + 87 t^{4} + 45 t^{2},['5.1']
5.2,O1O2O3O4O5U1U2U4U5U3,{'O1O2O3O4O5U1U2U4U5U3'},"[-4, -2, 1, 2, 3, 1, 2, 4, 3, 1, 3, 2, 1, 1, 1]",['5.2'],-128*K1**2*K2**4 + 416*K1**2*K2**3 - 1536*K1**2*K2**2 - 64*K1**2*K2*K4 + 1376*K1**2*K2 - 1032*K1**2 + 736*K1*K2**3*K3 + 96*K1*K2**2*K3*K4 - 480*K1*K2**2*K3 - 96*K1*K2**2*K5 - 32*K1*K2*K3*K4 + 1344*K1*K2*K3 + 112*K1*K3*K4 - 32*K2**6 - 128*K2**4*K3**2 - 32*K2**4*K4**2 + 128*K2**4*K4 - 904*K2**4 + 64*K2**3*K3*K5 + 32*K2**3*K4*K6 - 32*K2**3*K6 - 416*K2**2*K3**2 - 136*K2**2*K4**2 + 648*K2**2*K4 - 8*K2**2*K6**2 - 324*K2**2 + 96*K2*K3*K5 + 40*K2*K4*K6 - 328*K3**2 - 108*K4**2 - 4*K6**2 + 730,['5.2'],t^{6} + 81 t^{4} + 56 t^{2} + 1,['5.2']
5.3,O1O2O3O4O5U1U2U5U4U3,{'O1O2O3O4O5U1U2U5U4U3'},"[-4, -2, 2, 2, 2, 1, 2, 3, 4, 1, 2, 3, 0, 0, 0]",['5.3'],-32*K2**4*K4**2 + 192*K2**4*K4 - 352*K2**4 + 32*K2**2*K4**3 - 224*K2**2*K4**2 + 496*K2**2*K4 - 176*K2**2 + 64*K2*K4*K6 - 8*K4**4 - 168*K4**2 + 174,['5.3'],t^{6} + 76 t^{4} + 62 t^{2},['5.3']
5.4,O1O2O3O4O5U1U3U2U5U4,{'O1O2O3O4O5U1U3U2U5U4'},"[-4, -1, -1, 3, 3, 1, 2, 3, 4, 0, 1, 2, 2, 3, 0]",['5.4'],-256*K1**2*K3**2 - 272*K1**2 + 160*K1*K2*K3 + 576*K1*K3*K4 + 48*K1*K4*K5 + 16*K1*K6*K7 - 24*K2**2 + 16*K2*K3*K5 - 256*K3**2 + 16*K3*K4*K7 - 8*K4**4 + 8*K4**2*K8 - 256*K4**2 - 32*K5**2 - 8*K6**2 - 16*K7**2 - 2*K8**2 + 288,['5.4'],t^{6} + 84 t^{4} + 47 t^{2},['5.4']
5.5,O1O2O3O4O5U1U3U4U5U2,{'O1O2O3O4O5U1U3U4U5U2'},"[-4, -1, 1, 1, 3, 1, 2, 4, 3, 1, 2, 2, 0, 1, 2]",['5.5'],256*K1**2*K2**5 - 832*K1**2*K2**4 + 416*K1**2*K2**3 - 400*K1**2*K2**2 + 408*K1**2*K2 - 432*K1**2 + 128*K1*K2**5*K3 + 352*K1*K2**3*K3 + 328*K1*K2*K3 + 32*K1*K3*K4 + 8*K1*K4*K5 - 128*K2**8 + 128*K2**6*K4 - 288*K2**6 - 128*K2**4*K3**2 - 32*K2**4*K4**2 + 64*K2**4*K4 + 80*K2**4 + 32*K2**3*K3*K5 - 48*K2**2*K3**2 - 8*K2**2*K4**2 + 64*K2**2*K4 - 144*K2**2 + 16*K2*K3*K5 - 128*K3**2 - 36*K4**2 - 8*K5**2 + 298,['5.5'],t^{6} + 72 t^{4} + 26 t^{2},['5.5']
5.6,O1O2O3O4O5U1U3U5U2U4,{'O1O2O3O4O5U1U3U5U2U4'},"[-4, -1, 0, 2, 3, 1, 3, 2, 4, 1, 1, 2, 1, 2, 0]",['5.6'],-48*K1**2*K2**2 + 272*K1**2*K2 - 160*K1**2*K3**2 - 596*K1**2 + 64*K1*K2*K3**3 + 704*K1*K2*K3 + 176*K1*K3*K4 + 24*K1*K4*K5 + 16*K1*K5*K6 + 8*K1*K6*K7 - 16*K2**4 - 192*K2**2*K3**2 - 8*K2**2*K4**2 + 72*K2**2*K4 - 8*K2**2*K6**2 - 474*K2**2 + 112*K2*K3*K5 + 24*K2*K4*K6 + 8*K2*K5*K7 + 8*K2*K6*K8 - 32*K3**4 - 308*K3**2 - 106*K4**2 - 40*K5**2 - 22*K6**2 - 8*K7**2 - 2*K8**2 + 530,['5.6'],t^{6} + 71 t^{4} + 15 t^{2},['5.6']
5.7,O1O2O3O4O5U1U3U5U4U2,{'O1O2O3O4O5U1U3U5U4U2'},"[-4, -1, 1, 2, 2, 1, 4, 2, 3, 2, 1, 2, 1, 1, 0]",['5.7'],-64*K1**4 + 32*K1**3*K2*K3 - 128*K1**2*K2**2 + 280*K1**2*K2 - 192*K1**2*K3**2 - 544*K1**2 + 888*K1*K2*K3 + 184*K1*K3*K4 + 8*K1*K4*K5 + 16*K1*K5*K6 - 8*K2**4 - 192*K2**2*K3**2 + 40*K2**2*K4 - 8*K2**2*K6**2 - 524*K2**2 + 216*K2*K3*K5 + 16*K2*K4*K6 + 8*K2*K6*K8 - 64*K3**4 + 56*K3**2*K6 - 424*K3**2 - 76*K4**2 - 72*K5**2 - 28*K6**2 - 2*K8**2 + 580,['5.7'],t^{6} + 67 t^{4} + 41 t^{2},"['5.7', '7.18621']"
5.8,O1O2O3O4O5U1U4U3U5U2,{'O1O2O3O4O5U1U4U3U5U2'},"[-4, 0, 0, 1, 3, 1, 2, 4, 3, 0, 1, 1, 1, 2, 2]",['5.8'],-64*K1**4 + 32*K1**3*K2*K3 - 160*K1**3*K3 - 112*K1**2*K2**2 + 128*K1**2*K2*K3**2 + 960*K1**2*K2 - 256*K1**2*K3**2 - 1232*K1**2 - 256*K1*K2**2*K3 - 96*K1*K2*K3*K4 + 1208*K1*K2*K3 + 448*K1*K3*K4 + 56*K1*K4*K5 + 8*K1*K5*K6 - 8*K2**4 - 208*K2**2*K3**2 - 8*K2**2*K4**2 + 208*K2**2*K4 - 8*K2**2*K6**2 - 954*K2**2 + 232*K2*K3*K5 + 24*K2*K4*K6 + 8*K2*K5*K7 + 8*K2*K6*K8 + 16*K3**2*K6 - 620*K3**2 + 8*K3*K4*K7 - 248*K4**2 - 92*K5**2 - 22*K6**2 - 8*K7**2 - 2*K8**2 + 1008,['5.8'],t^{6} + 67 t^{4} + 28 t^{2} + 1,['5.8']
5.9,O1O2O3O4O5U1U4U5U2U3,{'O1O2O3O4O5U1U4U5U2U3'},"[-4, 0, 0, 2, 2, 1, 3, 2, 4, 1, 1, 1, 1, 1, -1]",['5.9'],-128*K2**8 + 128*K2**6*K4 - 256*K2**6 - 32*K2**4*K4**2 + 256*K2**4*K4 - 640*K2**4 - 96*K2**2*K4**2 + 480*K2**2*K4 + 272*K2**2 + 16*K2*K4*K6 - 64*K4**2 + 62,['5.9'],t^{6} + 60 t^{4} + 47 t^{2},"['5.9', '7.3332']"
5.10,O1O2O3O4O5U1U4U5U3U2,{'O1O2O3O4O5U1U4U5U3U2'},"[-4, 0, 1, 1, 2, 1, 3, 4, 2, 1, 1, 1, 0, 1, 1]",['5.10'],-192*K1**4 - 608*K1**2*K2**2 - 192*K1**2*K2*K4 + 1192*K1**2*K2 - 1080*K1**2 + 224*K1*K2**3*K3 + 160*K1*K2**2*K3*K4 - 320*K1*K2**2*K3 - 32*K1*K2**2*K5 - 64*K1*K2*K3*K4 + 1264*K1*K2*K3 + 296*K1*K3*K4 + 24*K1*K4*K5 - 32*K2**4*K4**2 + 96*K2**4*K4 - 288*K2**4 + 32*K2**3*K4*K6 - 32*K2**3*K6 - 288*K2**2*K3**2 - 224*K2**2*K4**2 + 568*K2**2*K4 - 8*K2**2*K6**2 - 852*K2**2 + 104*K2*K3*K5 + 72*K2*K4*K6 - 472*K3**2 - 234*K4**2 - 16*K5**2 - 4*K6**2 + 904,['5.10'],t^{6} + 57 t^{4} + 32 t^{2} + 1,"['5.10', '5.25', '7.21797']"
5.11,O1O2O3O4O5U1U5U3U4U2,{'O1O2O3O4O5U1U5U3U4U2'},"[-4, 0, 1, 1, 2, 2, 1, 4, 3, 0, 1, 1, 0, 0, 1]",['5.11'],-448*K1**4 - 608*K1**2*K2**2 + 944*K1**2*K2 - 520*K1**2 + 192*K1*K2**3*K3 + 784*K1*K2*K3 + 80*K1*K3*K4 - 32*K2**4*K4**2 + 96*K2**4*K4 - 304*K2**4 + 32*K2**3*K4*K6 - 192*K2**2*K3**2 - 96*K2**2*K4**2 + 232*K2**2*K4 - 8*K2**2*K6**2 - 436*K2**2 + 80*K2*K3*K5 + 32*K2*K4*K6 - 296*K3**2 - 118*K4**2 - 16*K5**2 - 4*K6**2 + 604,['5.11'],t^{6} + 55 t^{4} + 27 t^{2},['5.11']
5.12,O1O2O3O4O5U1U5U4U3U2,{'O1O2O3O4O5U1U5U4U3U2'},"[-4, 1, 1, 1, 1, 1, 2, 3, 4, 0, 0, 0, 0, 0, 0]",['5.12'],-128*K1**2 + 160*K1*K3*K4 + 96*K1*K4*K5 - 32*K2**2 + 64*K2*K3*K5 - 112*K3**2 - 8*K4**4 + 8*K4**2*K8 - 128*K4**2 - 80*K5**2 - 2*K8**2 + 160,['5.12'],t^{6} + 50 t^{4} + 20 t^{2},['5.12']
5.13,O1O2O3O4O5U2U1U3U5U4,{'O1O2O3O4O5U2U1U3U5U4'},"[-3, -3, 0, 3, 3, 0, 1, 2, 3, 2, 3, 4, 1, 2, 0]",['5.13'],-128*K3**4 + 128*K3**2*K6 - 32*K6**2 + 30,['5.13'],t^{6} + 84 t^{4} + 83 t^{2},['5.13']
5.14,O1O2O3O4O5U2U1U4U5U3,{'O1O2O3O4O5U2U1U4U5U3'},"[-3, -3, 1, 2, 3, 0, 1, 3, 2, 2, 4, 3, 1, 1, 1]",['5.14'],32*K1**2*K2**3 - 320*K1**2*K2**2 + 448*K1**2*K2 - 480*K1**2 + 32*K1*K2**3*K3 + 488*K1*K2*K3 + 24*K1*K3*K4 - 288*K2**6 + 256*K2**4*K4 - 520*K2**4 - 96*K2**2*K3**2 - 72*K2**2*K4**2 + 360*K2**2*K4 - 72*K2**2 + 72*K2*K3*K5 + 8*K2*K4*K6 - 184*K3**2 - 58*K4**2 - 16*K5**2 + 384,['5.14'],t^{6} + 78 t^{4} + 80 t^{2},['5.14']
5.15,O1O2O3O4O5U2U1U5U4U3,{'O1O2O3O4O5U2U1U5U4U3'},"[-3, -3, 2, 2, 2, 0, 1, 2, 3, 2, 3, 4, 0, 0, 0]",['5.15'],-144*K1**2 + 336*K1*K2*K3 + 16*K1*K5*K6 - 72*K2**4 - 128*K2**2*K3**2 + 40*K2**2*K4 - 192*K2**2 + 240*K2*K3*K5 - 224*K3**2 - 2*K4**2 - 96*K5**2 - 8*K6**2 + 232,['5.15'],t^{6} + 73 t^{4} + 81 t^{2},['5.15']
5.16,O1O2O3O4O5U2U4U1U5U3,"{'O1O2O3O4O5U2U4U1U5U3', 'O1O2O3O4U1U5U2U4O5U3'}","[-3, -2, 0, 2, 3, 0, 2, 2, 4, 1, 1, 2, 1, 2, 0]","['5.16', '7.31440']",-96*K1**2*K2**2 + 256*K1**2*K2 - 128*K1**2*K3**2 - 424*K1**2 + 64*K1*K2*K3**3 + 496*K1*K2*K3 + 112*K1*K3*K4 + 16*K1*K4*K5 - 16*K2**4 - 128*K2**2*K3**2 - 16*K2**2*K4**2 + 48*K2**2*K4 - 316*K2**2 + 64*K2*K3*K5 + 16*K2*K4*K6 - 32*K3**4 - 184*K3**2 - 60*K4**2 - 16*K5**2 - 4*K6**2 + 346,['5.16'],t^{6} + 63 t^{4} + 20 t^{2},"['5.16', '7.31440']"
5.17,O1O2O3O4O5U2U4U5U1U3,"{'O1O2O3O4O5U2U4U5U1U3', 'O1O2O3O4U1U3O5U2U4U5', 'O1O2O3O4U1O5U4U2U5U3'}","[-3, -1, 0, 2, 2, 0, 2, 2, 3, 1, 1, 1, 1, 1, -1]","['5.17', '7.10066', '7.21953', '7.31851']",-48*K1**2*K2**2 + 176*K1**2*K2 - 32*K1**2*K3**2 - 276*K1**2 + 264*K1*K2*K3 + 48*K1*K3*K4 + 8*K1*K4*K5 - 16*K2**4 - 32*K2**2*K3**2 - 8*K2**2*K4**2 + 32*K2**2*K4 - 198*K2**2 + 24*K2*K3*K5 + 8*K2*K4*K6 - 124*K3**2 - 32*K4**2 - 8*K5**2 - 2*K6**2 + 214,['5.17'],t^{6} + 47 t^{4} + 8 t^{2},"['5.17', '7.10066', '7.31851']"
5.18,O1O2O3O4O5U2U5U1U4U3,"{'O1O2O3O4U1O5U2U5U4U3', 'O1O2O3O4O5U2U5U1U4U3'}","[-3, -2, 1, 2, 2, 0, 3, 2, 3, 2, 1, 2, 1, 1, 0]",['5.18'],96*K1**4*K2 - 192*K1**4 - 112*K1**2*K2**2 + 192*K1**2*K2 - 96*K1**2 + 120*K1*K2*K3 + 56*K1*K3*K4 + 24*K1*K4*K5 - 8*K2**4 - 16*K2**2*K3**2 - 8*K2**2*K4**2 + 32*K2**2*K4 - 126*K2**2 + 24*K2*K3*K5 + 8*K2*K4*K6 - 76*K3**2 - 54*K4**2 - 20*K5**2 - 2*K6**2 + 156,['5.18'],t^{6} + 51 t^{4} + 11 t^{2},['5.18']
5.19,O1O2O3O4O5U2U5U3U1U4,{'O1O2O3O4O5U2U5U3U1U4'},"[-3, -1, 0, 1, 3, 0, 1, 3, 3, 0, 1, 1, 1, 2, 2]",['5.19'],192*K1**4*K2 - 672*K1**4 + 64*K1**3*K2*K3 - 576*K1**2*K2**2 + 1024*K1**2*K2 - 192*K1**2*K3**2 - 552*K1**2 + 944*K1*K2*K3 + 176*K1*K3*K4 - 128*K2**4 - 160*K2**2*K3**2 - 16*K2**2*K4**2 + 256*K2**2*K4 - 756*K2**2 + 208*K2*K3*K5 + 16*K2*K4*K6 - 32*K3**4 + 32*K3**2*K6 - 392*K3**2 - 144*K4**2 - 64*K5**2 - 12*K6**2 + 782,['5.19'],t^{6} + 50 t^{4} + 24 t^{2},['5.19']
5.20,O1O2O3O4O5U2U5U4U1U3,"{'O1O2O3O4O5U2U5U4U1U3', 'O1O2O3O4U1U4U5U2O5U3'}","[-3, 1, 2, 2, 2, 1]","['5.20', '7.2788', '7.2925', '7.14692', '7.14695', '7.17254', '7.26405', '7.29623', '7.33706']",96*K1**4*K2 - 288*K1**4 - 112*K1**2*K2**2 + 328*K1**2*K2 - 256*K1**2 + 232*K1*K2*K3 + 160*K1*K3*K4 + 48*K1*K4*K5 - 8*K2**4 - 16*K2**2*K3**2 - 8*K2**2*K4**2 + 48*K2**2*K4 - 246*K2**2 + 32*K2*K3*K5 + 8*K2*K4*K6 - 188*K3**2 - 126*K4**2 - 36*K5**2 - 2*K6**2 + 332,['5.20'],t^{4} + 27 t^{2} + 1,"['5.20', '7.14692', '7.14695', '7.17254', '7.26405']"
5.21,O1O2O3O4O5U3U4U5U1U2,{'O1O2O3O4O5U3U4U5U1U2'},"[-2, -1, 0, 1, 2, -1, 1, 1, 2, 1, 1, 1, 1, 1, -1]","['5.21', '6.969']",-896*K1**2*K2**4 + 640*K1**2*K2**3 - 800*K1**2*K2**2 + 480*K1**2*K2 - 224*K1**2 + 512*K1*K2**3*K3 + 352*K1*K2*K3 - 704*K2**6 + 384*K2**4*K4 - 256*K2**4 - 32*K2**2*K3**2 - 16*K2**2*K4**2 + 256*K2**2*K4 + 208*K2**2 - 32*K3**2 - 16*K4**2 + 142,['5.21'],t^{6} + 33 t^{4} + 26 t^{2},['5.21']
5.22,O1O2O3O4O5U3U5U1U4U2,{'O1O2O3O4O5U3U5U1U4U2'},"[-2, -2, 1, 1, 2, -1, 1, 2, 2, 1, 2, 2, -1, 0, 1]","['5.22', '7.42589']",192*K1**4*K2 - 928*K1**4 + 64*K1**3*K2*K3 - 320*K1**3*K3 - 480*K1**2*K2**2 + 1920*K1**2*K2 - 288*K1**2*K3**2 - 1440*K1**2 + 1488*K1*K2*K3 + 368*K1*K3*K4 + 96*K1*K4*K5 + 32*K1*K5*K6 - 24*K2**4 - 32*K2**2*K3**2 - 16*K2**2*K4**2 + 120*K2**2*K4 - 1180*K2**2 + 96*K2*K3*K5 + 32*K2*K4*K6 + 32*K3**2*K6 - 696*K3**2 - 230*K4**2 - 104*K5**2 - 44*K6**2 + 1340,['5.22'],t^{6} + 35 t^{4} + 13 t^{2} + 1,"['5.22', '7.12248', '7.14383', '7.29501', '7.42589']"
5.23,O1O2O3O4O5U3U5U4U1U2,{'O1O2O3O4O5U3U5U4U1U2'},"[-2, -1, 1, 1, 1, -1, 1, 1, 2, 1, 1, 1, -1, -1, 0]","['5.23', '6.970']",-256*K1**4 + 128*K1**3*K2*K3 + 224*K1**2*K2**3 - 1392*K1**2*K2**2 - 32*K1**2*K2*K4 + 1432*K1**2*K2 - 256*K1**2*K3**2 - 768*K1**2 + 256*K1*K2**3*K3 - 512*K1*K2**2*K3 - 64*K1*K2**2*K5 + 1536*K1*K2*K3 + 264*K1*K3*K4 + 8*K1*K4*K5 - 32*K2**6 + 64*K2**4*K4 - 520*K2**4 - 32*K2**3*K6 - 400*K2**2*K3**2 - 16*K2**2*K4**2 + 416*K2**2*K4 - 446*K2**2 + 184*K2*K3*K5 + 16*K2*K4*K6 - 340*K3**2 - 70*K4**2 - 12*K5**2 - 2*K6**2 + 620,['5.23'],t^{6} + 26 t^{4} + 24 t^{2} + 1,['5.23']
5.24,O1O2O3O4O5U4U5U3U1U2,"{'O1O2O3O4U3O5U4U5U1U2', 'O1O2O3O4O5U4U5U3U1U2', 'O1O2O3O4U3U4U5U1O5U2'}","[-1, -1, 0, 1, 1, -1, 0, 1, 1, 1, 1, 1, 0, 1, 1]","['5.24', '6.971', '7.22878', '7.42721']",-256*K1**4 - 192*K1**2*K2**2 + 352*K1**2*K2 - 48*K1**2 + 192*K1*K2*K3 - 48*K2**4 + 48*K2**2*K4 - 112*K2**2 - 48*K3**2 - 12*K4**2 + 122,['5.24'],t^{6} + 12 t^{4} + 11 t^{2},"['5.24', '5.89', '5.104', '6.971', '7.9322', '7.22878', '7.39897', '7.42721', '7.44275']"
5.25,O1O2O3O4U1O5U2U4U5U3,{'O1O2O3O4U1O5U2U4U5U3'},"[-3, -2, 1, 2, 2, 0, 2, 2, 3, 2, 1, 2, 0, 0, -1]",['5.25'],-144*K1**4 + 64*K1**3*K2*K3 - 96*K1**3*K3 - 640*K1**2*K2**2 - 96*K1**2*K2*K4 + 1592*K1**2*K2 - 80*K1**2*K3**2 - 1592*K1**2 - 96*K1*K2**2*K3 + 1352*K1*K2*K3 + 264*K1*K3*K4 + 32*K1*K4*K5 - 24*K2**4 - 32*K2**2*K3**2 - 8*K2**2*K4**2 + 200*K2**2*K4 - 1142*K2**2 + 48*K2*K3*K5 + 8*K2*K4*K6 - 544*K3**2 - 182*K4**2 - 32*K5**2 - 2*K6**2 + 1148,['5.25'],t^{6} + 57 t^{4} + 32 t^{2} + 1,"['5.10', '5.25', '7.21797']"
5.26,O1O2O3O4U1O5U3U4U5U2,"{'O1O2O3O4U1U2O5U4U3U5', 'O1O2O3O4U1O5U3U4U5U2'}","[-3, -1, 1, 1, 2, 1, 1, 2, 3, 0, 1, 1, 0, -1, 0]",['5.26'],32*K1**2*K2**3 - 256*K1**2*K2**2 + 288*K1**2*K2 - 264*K1**2 + 32*K1*K2**3*K3 + 264*K1*K2*K3 + 8*K1*K3*K4 - 32*K2**6 + 32*K2**4*K4 - 232*K2**4 - 32*K2**2*K3**2 - 8*K2**2*K4**2 + 144*K2**2*K4 - 72*K2**2 + 8*K2*K3*K5 - 80*K3**2 - 26*K4**2 + 192,['5.26'],t^{6} + 48 t^{4} + 20 t^{2},['5.26']
5.27,O1O2O3O4U1O5U3U5U4U2,{'O1O2O3O4U1O5U3U5U4U2'},"[-3, -1, 1, 1, 2, 1, 1, 3, 2, 1, 2, 2, -1, 0, 1]",['5.27'],256*K1**4*K2 - 864*K1**4 + 64*K1**3*K2*K3 - 256*K1**3*K3 + 160*K1**2*K2**3 - 880*K1**2*K2**2 + 64*K1**2*K2*K3**2 + 2168*K1**2*K2 - 160*K1**2*K3**2 - 1328*K1**2 - 256*K1*K2**2*K3 - 32*K1*K2*K3*K4 + 1352*K1*K2*K3 + 168*K1*K3*K4 - 152*K2**4 - 80*K2**2*K3**2 - 8*K2**2*K4**2 + 192*K2**2*K4 - 1030*K2**2 + 64*K2*K3*K5 + 8*K2*K4*K6 - 428*K3**2 - 74*K4**2 - 12*K5**2 - 2*K6**2 + 1064,['5.27'],t^{6} + 42 t^{4} + 16 t^{2} + 1,"['5.27', '7.20797']"
