name,gcode,diag_sym_type,inv,bar,invbar,r3_orbit,phi_sym,same_phi,cable_arr_poly,same_cable_arr_poly,outPoly,same_outpoly,sameflatknot
6.1,O1O2O3O4O5O6U1U2U3U4U6U5,"[0, 1, 0]",O1O2O3O4O5O6U2U1U3U4U5U6,Same,O1O2O3O4O5O6U2U1U3U4U5U6,{'O1O2O3O4O5O6U1U2U3U4U6U5'},"[-5, -3, -1, 1, 4, 4, 1, 2, 3, 4, 5, 1, 2, 3, 4, 1, 2, 3, 1, 2, 0]",['6.1'],-2048*K1**2*K2**6 + 768*K1**2*K2**5 - 256*K1**2*K2**4 - 640*K1**2*K2**2 + 336*K1**2*K2 - 464*K1**2 + 1024*K1*K2**7*K3 + 1536*K1*K2**5*K3 + 256*K1*K2**3*K3 + 960*K1*K2*K3 + 64*K1*K3*K4 + 64*K1*K4*K5 - 512*K2**8 - 1024*K2**6*K3**2 - 128*K2**6*K4**2 + 128*K2**6*K4 + 160*K2**6 + 256*K2**5*K3*K5 + 128*K2**5*K4*K6 - 256*K2**4*K3**2 - 64*K2**4*K4**2 - 32*K2**4*K6**2 + 192*K2**4 - 256*K2**2*K3**2 - 32*K2**2*K4**2 + 32*K2**2*K4 - 280*K2**2 + 112*K2*K3*K5 + 32*K2*K4*K6 - 376*K3**2 - 80*K4**2 - 56*K5**2 - 8*K6**2 + 462,['6.1'],t^{7} + 172 t^{5} + 124 t^{3},['6.1'],"['6.82805', '6.82927', '6.82928', '6.82957', '6.82959', '6.82961', '6.83235', '6.83237', '6.83871', '6.83875', '6.83882', '6.86030', '6.86036', '6.86774', '6.86775', '6.86779', '6.86791', '6.86795', '6.86808', '6.86811', '6.89783', '6.89848', '6.89991', '6.90095']"
6.2,O1O2O3O4O5O6U1U2U3U5U6U4,"[0, 0, 0]",O1O2O3O4O5O6U3U1U2U4U5U6,O1O2O3O4O5O6U1U2U3U6U4U5,O1O2O3O4O5O6U2U3U1U4U5U6,{'O1O2O3O4O5O6U1U2U3U5U6U4'},"[-5, -3, -1, 2, 3, 4, 1, 2, 3, 5, 4, 1, 2, 4, 3, 1, 3, 2, 1, 1, 1]",['6.2'],-384*K1**4 - 512*K1**2*K2**6 + 1664*K1**2*K2**5 - 5376*K1**2*K2**4 - 128*K1**2*K2**3*K4 + 4064*K1**2*K2**3 - 5312*K1**2*K2**2 - 256*K1**2*K2*K4 + 3664*K1**2*K2 - 32*K1**2*K3**2 - 2236*K1**2 + 2560*K1*K2**5*K3 + 128*K1*K2**4*K3*K4 - 1408*K1*K2**4*K3 - 384*K1*K2**4*K5 + 4192*K1*K2**3*K3 + 224*K1*K2**2*K3*K4 - 864*K1*K2**2*K3 - 192*K1*K2**2*K5 - 32*K1*K2*K3*K4 + 3080*K1*K2*K3 + 240*K1*K3*K4 + 8*K1*K4*K5 - 128*K2**8 - 512*K2**6*K3**2 - 128*K2**6*K4**2 + 512*K2**6*K4 - 3264*K2**6 + 256*K2**5*K3*K5 + 128*K2**5*K4*K6 - 128*K2**5*K6 - 1152*K2**4*K3**2 - 480*K2**4*K4**2 + 2336*K2**4*K4 - 32*K2**4*K6**2 - 1592*K2**4 + 224*K2**3*K3*K5 + 224*K2**3*K4*K6 - 64*K2**3*K6 - 1072*K2**2*K3**2 - 568*K2**2*K4**2 + 1600*K2**2*K4 - 32*K2**2*K6**2 + 88*K2**2 + 184*K2*K3*K5 + 120*K2*K4*K6 - 624*K3**2 - 326*K4**2 - 12*K5**2 - 8*K6**2 + 1740,['6.2'],t^{7} + 166 t^{5} + 210 t^{3} + 6 t,['6.2'],"['6.81817', '6.81819', '6.82034', '6.82038', '6.82526', '6.82529', '6.82768', '6.82770', '6.82964', '6.82970', '6.83045', '6.83047', '6.83510', '6.83512', '6.83888', '6.83898', '6.84511', '6.84513', '6.84877', '6.84879', '6.85791', '6.85797', '6.86048', '6.86052', '6.86368', '6.86374', '6.86827', '6.86828', '6.88798', '6.88808', '6.89860', '6.89863']"
6.3,O1O2O3O4O5O6U1U2U3U6U5U4,"[0, 1, 0]",O1O2O3O4O5O6U3U2U1U4U5U6,Same,O1O2O3O4O5O6U3U2U1U4U5U6,{'O1O2O3O4O5O6U1U2U3U6U5U4'},"[-5, -3, -1, 3, 3, 3, 1, 2, 3, 4, 5, 1, 2, 3, 4, 1, 2, 3, 0, 0, 0]",['6.3'],-256*K1**2*K2**2 + 288*K1**2*K2 - 64*K1**2*K4**2 - 520*K1**2 + 480*K1*K2*K3 + 288*K1*K3*K4 + 144*K1*K4*K5 - 128*K2**6*K4**2 + 768*K2**6*K4 - 1408*K2**6 + 128*K2**4*K4**3 - 832*K2**4*K4**2 + 1152*K2**4*K4 - 256*K2**4 + 192*K2**3*K4*K6 - 32*K2**2*K4**4 + 64*K2**2*K4**3 - 552*K2**2*K4**2 + 744*K2**2*K4 - 278*K2**2 + 96*K2*K3*K5 + 136*K2*K4*K6 - 352*K3**2 - 16*K4**4 - 396*K4**2 - 104*K5**2 - 2*K6**2 + 714,['6.3'],t^{7} + 161 t^{5} + 246 t^{3},['6.3'],"['6.81821', '6.81823', '6.82041', '6.82043', '6.82772', '6.82773', '6.82972', '6.82974', '6.83448', '6.83450', '6.83902', '6.83906', '6.84519', '6.84521', '6.84762', '6.84764', '6.86240', '6.86246', '6.86843', '6.86844', '6.88507', '6.88514', '6.89872', '6.89874']"
6.4,O1O2O3O4O5O6U1U2U4U3U6U5,"[0, 1, 0]",O1O2O3O4O5O6U2U1U4U3U5U6,Same,O1O2O3O4O5O6U2U1U4U3U5U6,{'O1O2O3O4O5O6U1U2U4U3U6U5'},"[-5, -3, 0, 0, 4, 4, 1, 2, 3, 4, 5, 1, 2, 3, 4, 0, 1, 2, 2, 3, 0]",['6.4'],-1152*K1**4 + 1536*K1**3*K2*K3 - 1024*K1**2*K2**2*K3**2 - 2624*K1**2*K2**2 - 1600*K1**2*K2*K4 + 3664*K1**2*K2 - 1472*K1**2*K3**2 - 192*K1**2*K3*K5 - 128*K1**2*K4**2 - 3104*K1**2 + 640*K1*K2**3*K3 + 1408*K1*K2**2*K3*K4 - 960*K1*K2**2*K3 - 192*K1*K2**2*K5 + 64*K1*K2**2*K6*K7 + 512*K1*K2*K3**3 - 192*K1*K2*K3*K6 + 4624*K1*K2*K3 - 128*K1*K2*K4*K5 - 64*K1*K2*K4*K7 - 64*K1*K2*K5*K6 + 2560*K1*K3*K4 + 656*K1*K4*K5 + 32*K1*K6*K7 - 2*K10**2 + 8*K10*K2*K8 - 224*K2**4 + 64*K2**3*K3*K5 - 1088*K2**2*K3**2 - 576*K2**2*K4**2 + 1440*K2**2*K4 - 64*K2**2*K5**2 - 32*K2**2*K6**2 - 64*K2**2*K7**2 - 8*K2**2*K8**2 - 2788*K2**2 - 320*K2*K3**2*K4 - 64*K2*K3*K4*K5 + 736*K2*K3*K5 + 384*K2*K4*K6 + 240*K2*K5*K7 + 8*K2*K6*K8 + 16*K2*K7*K9 - 128*K3**4 + 96*K3**2*K6 - 1720*K3**2 + 48*K3*K4*K7 + 16*K3*K5*K8 - 1280*K4**2 - 472*K5**2 - 66*K6**2 - 96*K7**2 - 12*K8**2 + 3146,['6.4'],t^{7} + 169 t^{5} + 131 t^{3} + 7 t,['6.4'],"['6.82810', '6.82814', '6.82930', '6.82940', '6.82941', '6.82976', '6.83244', '6.83300', '6.83302', '6.83910', '6.86060', '6.86136', '6.86138', '6.86784', '6.86787', '6.86817', '6.86819', '6.89804', '6.89902', '6.90097']"
6.5,O1O2O3O4O5O6U1U2U4U5U6U3,"[0, 0, 0]",O1O2O3O4O5O6U4U1U2U3U5U6,O1O2O3O4O5O6U1U2U6U3U4U5,O1O2O3O4O5O6U2U3U4U1U5U6,{'O1O2O3O4O5O6U1U2U4U5U6U3'},"[-5, -3, 0, 2, 2, 4, 1, 2, 3, 5, 4, 1, 2, 4, 3, 1, 2, 2, 0, 1, 2]",['6.5'],-32*K1**4 - 64*K1**3*K3 - 512*K1**2*K2**6 + 1024*K1**2*K2**5 - 3840*K1**2*K2**4 - 128*K1**2*K2**3*K4 + 3808*K1**2*K2**3 - 4736*K1**2*K2**2 - 160*K1**2*K2*K4 + 2592*K1**2*K2 - 32*K1**2*K3**2 - 1920*K1**2 + 2688*K1*K2**5*K3 + 256*K1*K2**4*K3*K4 - 1664*K1*K2**4*K3 - 384*K1*K2**4*K5 - 128*K1*K2**3*K3*K4 + 4032*K1*K2**3*K3 + 96*K1*K2**2*K3*K4 - 992*K1*K2**2*K3 + 32*K1*K2**2*K4*K5 - 160*K1*K2**2*K5 - 96*K1*K2*K3*K4 + 3176*K1*K2*K3 + 192*K1*K3*K4 + 32*K1*K4*K5 - 128*K2**8 - 512*K2**6*K3**2 - 128*K2**6*K4**2 + 512*K2**6*K4 - 3040*K2**6 + 256*K2**5*K3*K5 + 128*K2**5*K4*K6 - 128*K2**5*K6 - 1408*K2**4*K3**2 - 352*K2**4*K4**2 + 2208*K2**4*K4 - 32*K2**4*K6**2 - 1824*K2**4 + 352*K2**3*K3*K5 + 64*K2**3*K4*K6 - 32*K2**3*K6 - 1152*K2**2*K3**2 - 256*K2**2*K4**2 + 1312*K2**2*K4 - 32*K2**2*K5**2 + 360*K2**2 + 304*K2*K3*K5 + 48*K2*K4*K6 + 8*K2*K5*K7 - 840*K3**2 - 192*K4**2 - 56*K5**2 - 8*K6**2 + 1486,['6.5'],t^{7} + 157 t^{5} + 172 t^{3} + 6 t,['6.5'],"['6.73972', '6.73974', '6.74483', '6.74487', '6.75935', '6.75943', '6.76701', '6.76705', '6.78937', '6.78941', '6.79475', '6.79482', '6.80463', '6.80467', '6.80945', '6.80947', '6.82982', '6.83036', '6.83744', '6.83746', '6.83915', '6.85527', '6.85529', '6.85693', '6.85778', '6.85809', '6.85813', '6.86713', '6.86715', '6.87820', '6.89573', '6.89951']"
6.6,O1O2O3O4O5O6U1U2U4U6U3U5,"[0, 0, 0]",O1O2O3O4O5O6U2U4U1U3U5U6,O1O2O3O4O5O6U1U2U5U3U6U4,O1O2O3O4O5O6U3U1U4U2U5U6,{'O1O2O3O4O5O6U1U2U4U6U3U5'},"[-5, -3, 0, 1, 3, 4, 1, 2, 4, 3, 5, 1, 3, 2, 4, 1, 1, 2, 1, 2, 0]",['6.6'],-336*K1**4 + 160*K1**3*K2*K3 - 128*K1**2*K2**4 + 256*K1**2*K2**3 - 256*K1**2*K2**2*K3**2 - 1440*K1**2*K2**2 + 1536*K1**2*K2 - 432*K1**2*K3**2 - 32*K1**2*K4**2 - 1456*K1**2 + 128*K1*K2**3*K3**3 + 832*K1*K2**3*K3 + 352*K1*K2*K3**3 + 1952*K1*K2*K3 + 336*K1*K3*K4 + 112*K1*K4*K5 + 16*K1*K6*K7 + 8*K1*K7*K8 - 2*K10**2 + 8*K10*K2*K8 - 32*K2**6 - 256*K2**4*K3**2 - 32*K2**4*K4**2 + 192*K2**4*K4 - 792*K2**4 + 96*K2**3*K3*K5 + 32*K2**3*K4*K6 + 32*K2**3*K5*K7 - 128*K2**2*K3**4 - 928*K2**2*K3**2 - 200*K2**2*K4**2 + 472*K2**2*K4 - 64*K2**2*K5**2 - 8*K2**2*K6**2 - 32*K2**2*K7**2 - 8*K2**2*K8**2 - 824*K2**2 + 32*K2*K3**3*K5 + 416*K2*K3*K5 + 104*K2*K4*K6 + 88*K2*K5*K7 + 8*K2*K6*K8 + 8*K2*K7*K9 - 160*K3**4 + 32*K3**2*K6 - 584*K3**2 + 8*K3*K5*K8 - 308*K4**2 - 128*K5**2 - 38*K6**2 - 40*K7**2 - 12*K8**2 + 1438,['6.6'],t^{7} + 156 t^{5} + 125 t^{3},['6.6'],"['6.81558', '6.81632', '6.81636', '6.81831', '6.81839', '6.82049', '6.82216', '6.82220', '6.82326', '6.82330', '6.82537', '6.82545', '6.82986', '6.83116', '6.83118', '6.83547', '6.83549', '6.83920', '6.84072', '6.84076', '6.84527', '6.84885', '6.84893', '6.85892', '6.85894', '6.86397', '6.86401', '6.86439', '6.86441', '6.88829', '6.89762', '6.89880']"
6.7,O1O2O3O4O5O6U1U2U4U6U5U3,"[0, 0, 0]",O1O2O3O4O5O6U4U2U1U3U5U6,O1O2O3O4O5O6U1U2U6U3U5U4,O1O2O3O4O5O6U3U2U4U1U5U6,{'O1O2O3O4O5O6U1U2U4U6U5U3'},"[-5, -3, 0, 2, 3, 3, 1, 2, 5, 3, 4, 1, 4, 2, 3, 2, 1, 2, 1, 1, 0]",['6.7'],-1088*K1**2*K2**2 + 2032*K1**2*K2 - 544*K1**2*K3**2 - 64*K1**2*K3*K5 - 2616*K1**2 + 704*K1*K2**3*K3 + 64*K1*K2**2*K3*K4 - 736*K1*K2**2*K3 - 192*K1*K2**2*K5 + 480*K1*K2*K3**3 - 384*K1*K2*K3*K4 - 160*K1*K2*K3*K6 + 4184*K1*K2*K3 - 96*K1*K3**2*K5 + 992*K1*K3*K4 + 192*K1*K4*K5 + 8*K1*K7*K8 - 2*K10**2 + 8*K10*K2*K8 - 1496*K2**4 + 320*K2**3*K3*K5 - 256*K2**2*K3**4 + 160*K2**2*K3**2*K6 - 2464*K2**2*K3**2 - 64*K2**2*K3*K7 - 32*K2**2*K4**2 + 1696*K2**2*K4 - 256*K2**2*K5**2 - 32*K2**2*K6**2 - 8*K2**2*K8**2 - 2196*K2**2 + 32*K2*K3**3*K5 - 160*K2*K3**2*K4 - 64*K2*K3*K4*K5 + 2072*K2*K3*K5 + 64*K2*K4*K6 + 176*K2*K5*K7 + 8*K2*K6*K8 - 320*K3**4 + 272*K3**2*K6 - 1744*K3**2 + 40*K3*K4*K7 + 8*K3*K5*K8 - 694*K4**2 - 472*K5**2 - 42*K6**2 - 56*K7**2 - 12*K8**2 + 2736,['6.7'],t^{7} + 152 t^{5} + 227 t^{3} + 9 t,['6.7'],"['6.73982', '6.73986', '6.74503', '6.74507', '6.75959', '6.75967', '6.76713', '6.76719', '6.78949', '6.78955', '6.79496', '6.79502', '6.80478', '6.80485', '6.80953', '6.80957', '6.83006', '6.83094', '6.83644', '6.83787', '6.83939', '6.84104', '6.84255', '6.85181', '6.85539', '6.85863', '6.86262', '6.86574', '6.86741', '6.87454', '6.88295', '6.89740']"
6.8,O1O2O3O4O5O6U1U2U5U4U6U3,"[0, 0, 0]",O1O2O3O4O5O6U4U1U3U2U5U6,O1O2O3O4O5O6U1U2U6U4U3U5,O1O2O3O4O5O6U2U4U3U1U5U6,{'O1O2O3O4O5O6U1U2U5U4U6U3'},"[-5, -3, 1, 1, 2, 4, 1, 2, 3, 5, 4, 1, 2, 4, 3, 0, 1, 1, 1, 2, 2]",['6.8'],96*K1**3*K2*K3 + 512*K1**2*K2**3 - 256*K1**2*K2**2*K3**2 - 2496*K1**2*K2**2 + 128*K1**2*K2*K3**2 + 32*K1**2*K2*K3*K5 - 192*K1**2*K2*K4 + 2696*K1**2*K2 - 768*K1**2*K3**2 - 3104*K1**2 - 128*K1*K2**3*K3*K4 + 992*K1*K2**3*K3 + 672*K1*K2**2*K3*K4 - 960*K1*K2**2*K3 + 224*K1*K2**2*K4*K5 - 256*K1*K2**2*K5 + 384*K1*K2*K3**3 - 832*K1*K2*K3*K4 - 160*K1*K2*K3*K6 + 4792*K1*K2*K3 - 32*K1*K2*K4*K5 - 64*K1*K3**2*K5 + 1328*K1*K3*K4 + 352*K1*K4*K5 + 8*K1*K6*K7 + 8*K1*K7*K8 - 2*K10**2 + 8*K10*K2*K8 - 32*K2**4*K4**2 + 320*K2**4*K4 - 1872*K2**4 + 224*K2**3*K3*K5 + 32*K2**3*K4*K6 - 32*K2**3*K6 - 2400*K2**2*K3**2 + 32*K2**2*K3*K4*K7 - 96*K2**2*K3*K7 - 656*K2**2*K4**2 + 2184*K2**2*K4 - 320*K2**2*K5**2 - 8*K2**2*K6**2 - 32*K2**2*K7**2 - 8*K2**2*K8**2 - 2268*K2**2 - 96*K2*K3**2*K4 - 32*K2*K3*K4*K5 + 2112*K2*K3*K5 + 176*K2*K4*K6 + 192*K2*K5*K7 + 8*K2*K6*K8 + 8*K2*K7*K9 - 192*K3**4 + 128*K3**2*K6 - 1968*K3**2 + 72*K3*K4*K7 + 8*K3*K5*K8 - 1006*K4**2 - 544*K5**2 - 34*K6**2 - 72*K7**2 - 12*K8**2 + 3200,['6.8'],t^{7} + 152 t^{5} + 185 t^{3} + 12 t,['6.8'],"['6.73978', '6.73990', '6.74495', '6.74511', '6.75951', '6.75975', '6.76709', '6.76726', '6.78945', '6.78963', '6.79489', '6.79509', '6.80471', '6.80489', '6.80949', '6.80961', '6.83016', '6.83092', '6.83646', '6.83785', '6.83940', '6.84108', '6.84258', '6.85177', '6.85541', '6.85865', '6.86258', '6.86572', '6.86743', '6.87446', '6.88292', '6.89738']"
6.9,O1O2O3O4O5O6U1U2U5U6U3U4,"[0, 1, 0]",O1O2O3O4O5O6U3U4U1U2U5U6,Same,O1O2O3O4O5O6U3U4U1U2U5U6,{'O1O2O3O4O5O6U1U2U5U6U3U4'},"[-5, -3, 1, 1, 3, 3, 1, 2, 4, 3, 5, 1, 3, 2, 4, 1, 1, 1, 1, 1, -1]",['6.9'],-256*K1**4 - 512*K1**2*K2**4 - 256*K1**2*K2**3*K4 + 2624*K1**2*K2**3 + 256*K1**2*K2**2*K4 - 6816*K1**2*K2**2 - 320*K1**2*K2*K4 + 5120*K1**2*K2 - 3072*K1**2 + 256*K1*K2**4*K3*K4 - 512*K1*K2**4*K3 - 256*K1*K2**3*K3*K4 + 2944*K1*K2**3*K3 + 512*K1*K2**2*K3*K4 - 1728*K1*K2**2*K3 - 320*K1*K2**2*K5 - 192*K1*K2*K3*K4 + 4512*K1*K2*K3 + 240*K1*K3*K4 + 16*K1*K4*K5 - 128*K2**6*K4**2 + 640*K2**6*K4 - 3936*K2**6 + 128*K2**5*K4*K6 - 256*K2**5*K6 - 512*K2**4*K3**2 - 832*K2**4*K4**2 + 5056*K2**4*K4 - 32*K2**4*K6**2 - 6928*K2**4 + 320*K2**3*K3*K5 + 384*K2**3*K4*K6 - 640*K2**3*K6 - 1504*K2**2*K3**2 - 1248*K2**2*K4**2 + 4368*K2**2*K4 - 32*K2**2*K6**2 + 1352*K2**2 + 320*K2*K3*K5 + 208*K2*K4*K6 - 848*K3**2 - 516*K4**2 - 16*K5**2 - 8*K6**2 + 2418,['6.9'],t^{7} + 145 t^{5} + 239 t^{3} + 19 t,['6.9'],"['6.81095', '6.81125', '6.81129', '6.81200', '6.81203', '6.81246', '6.81248', '6.82056', '6.82552', '6.83018', '6.83486', '6.83488', '6.83952', '6.83996', '6.86300', '6.86302', '6.88525', '6.88529', '6.88847', '6.89889']"
6.10,O1O2O3O4O5O6U1U2U5U6U4U3,"[0, 0, 0]",O1O2O3O4O5O6U4U3U1U2U5U6,O1O2O3O4O5O6U1U2U6U5U3U4,O1O2O3O4O5O6U3U4U2U1U5U6,{'O1O2O3O4O5O6U1U2U5U6U4U3'},"[-5, -3, 1, 2, 2, 3, 1, 2, 4, 5, 3, 1, 3, 4, 2, 1, 1, 1, 0, 1, 1]",['6.10'],-128*K1**2*K2**3*K4 + 416*K1**2*K2**3 + 256*K1**2*K2**2*K4 - 3072*K1**2*K2**2 - 384*K1**2*K2*K4 + 3096*K1**2*K2 - 64*K1**2*K4**2 - 2504*K1**2 - 128*K1*K2**3*K3*K4 + 768*K1*K2**3*K3 + 416*K1*K2**2*K3*K4 - 992*K1*K2**2*K3 + 64*K1*K2**2*K4*K5 - 288*K1*K2**2*K5 - 288*K1*K2*K3*K4 + 3544*K1*K2*K3 + 544*K1*K3*K4 + 144*K1*K4*K5 - 128*K2**6*K4**2 + 512*K2**6*K4 - 1152*K2**6 + 128*K2**4*K4**3 - 1216*K2**4*K4**2 + 3904*K2**4*K4 - 5248*K2**4 + 96*K2**3*K3*K5 + 384*K2**3*K4*K6 - 608*K2**3*K6 - 672*K2**2*K3**2 - 32*K2**2*K4**4 + 128*K2**2*K4**3 - 1864*K2**2*K4**2 + 3696*K2**2*K4 - 64*K2**2*K5**2 - 422*K2**2 + 392*K2*K3*K5 + 400*K2*K4*K6 + 8*K2*K5*K7 - 1056*K3**2 - 16*K4**4 - 844*K4**2 - 104*K5**2 - 2*K6**2 + 2378,['6.10'],t^{7} + 142 t^{5} + 215 t^{3} + 19 t,['6.10'],"['6.73993', '6.73997', '6.74517', '6.74523', '6.75983', '6.75991', '6.76731', '6.76734', '6.78969', '6.78971', '6.79517', '6.79521', '6.80493', '6.80497', '6.80965', '6.80967', '6.83023', '6.83477', '6.83716', '6.83718', '6.83956', '6.84002', '6.84017', '6.85084', '6.86281', '6.86650', '6.86652', '6.87470', '6.87476', '6.87917', '6.88865', '6.88872']"
