name,gcode,vgenus,jk_poly_normed,en_poly_normed,is_cc,is_ac,bsMtxNoSrt,primMatrix,isPrim,phi,phi_sym,inPoly,inv_phi,bar_phi,invbar_phi,matrix_sym_type,fillings,alg_genus,arrowpoly,reverse,mirror_img,rev_mir_img,diag_sym_type,r3_orbit,r3_orbit_length,namelink,outPoly,uPoly,cable_arr_poly,slice
8.1224501,O1O2U3O4O5U2U6O3U7O6U8O7U4O8U1U5,4,25z^2+102z+105,25w^3z^2+102w^2z+105w,False,False,"[[ 0 -1 -1  0  0  2  0  0  0],[ 1  0  0  0  1  2  1  1  1],[ 1  0  0  1  0  1  2  1  0],[ 0  0 -1  0  1  2 -1 -1  1],[ 0 -1  0 -1  0  0 -1  1  1],[-2 -2 -1 -2  0  0 -3 -2 -1],[ 0 -1 -2  1  1  3  0 -1 -1],[ 0 -1 -1  1 -1  2  1  0 -1],[ 0 -1  0 -1 -1  1  1  1  0]]","[[ 0  2  0  0  0  0  0 -1 -1],[-2  0  0 -1 -2 -2 -3 -1 -2],[ 0  0  0  1  1 -1 -1  0 -1],[ 0  1 -1  0  1 -1  1  0 -1],[ 0  2 -1 -1  0  1  1 -1 -1],[ 0  2  1  1 -1  0 -1 -1  0],[ 0  3  1 -1 -1  1  0 -2 -1],[ 1  1  0  0  1  1  2  0  0],[ 1  2  1  1  1  0  1  0  0]]",True,"[-2,0,0,0,0,0,1,1,0,1,2,2,3,1,2,-1,-1,1,1,0,1,-1,1,-1,0,1,-1,-1,1,1,1,1,0,2,1,0]","[-2,0,0,0,0,0,1,1,-1,0,0,1,2,1,2,-1,1,-1,1,0,-1,1,-1,-1,0,0,1,1,1,0,-1,0,1,0,1,0]",t^8+43t^6+346t^4+296t^2+16,"[-1,-1,0,0,0,0,0,2,0,-1,0,0,1,1,2,0,0,1,0,0,1,1,-1,-1,1,-1,-1,1,1,0,-1,-1,0,-1,2,1]","[-2,0,0,0,0,0,1,1,-1,0,0,1,2,1,2,-1,1,-1,1,0,-1,1,-1,-1,0,0,1,1,1,0,-1,0,1,0,1,0]","[-1,-1,0,0,0,0,0,2,0,0,0,1,1,2,1,1,1,0,1,1,2,-1,-1,1,1,1,-1,1,-1,0,-1,-1,2,1,2,3]",c,"[[{8, 6}, {1, 7}, {2, 5}, {3, 4}], [{8, 6}, {1, 7}, {4, 5}, {2, 3}], [{8, 6}, {2, 7}, {1, 5}, {3, 4}], [{8, 6}, {2, 7}, {3, 5}, {1, 4}], [{8, 6}, {5, 7}, {3, 4}, {1, 2}], [{8, 6}, {7}, {1, 5}, {3, 4}, {2}], [{8, 6}, {7}, {2, 5}, {3, 4}, {1}], [{8, 6}, {7}, {5}, {3, 4}, {1, 2}]]",1,2 K_1^2 - K_2,O1O2U3O4O5U1U5O6U2O7U6O8U7O3U8U4,O1O2U3O4U2O5U4O6U5O7O8U7U1O3U6U8,O1O2U3O4U5O3U6O5U7O6O8U1U4O7U8U2,c,{'O1O2U3O4O5U2U6O3U7O6U8O7U4O8U1U5'},1,"<a href=""/flatknot/8.1224501"">8.1224501</a>",t^9-41t^7-132t^6-93t^5+94t^4+144t^3+74t^2+37t+12,-t^2+2t,,
8.1224502,O1O2U3O4O5U2U6O3U7O6U8O7U5O8U1U4,3,9z^2+74z+113,9w^3z^2+74w^2z+113w,False,False,"[[ 0 -1 -1  0  1  1  0  0  0],[ 1  0  0  0  1  1  1  1  1],[ 1  0  0  1  1  0  2  1  0],[ 0  0 -1  0  1  2 -1 -1  1],[-1 -1 -1 -1  0  1 -2 -1 -1],[-1 -1  0 -2 -1  0 -2  0  0],[ 0 -1 -2  1  2  2  0 -1 -1],[ 0 -1 -1  1  1  0  1  0 -1],[ 0 -1  0 -1  1  0  1  1  0]]","[[ 0  1  1  0  0  0  0 -1 -1],[-1  0  1 -1 -1 -1 -2 -1 -1],[-1 -1  0  0  0 -2 -2  0 -1],[ 0  1  0  0  1 -1  1  0 -1],[ 0  1  0 -1  0  1  1 -1 -1],[ 0  1  2  1 -1  0 -1 -1  0],[ 0  2  2 -1 -1  1  0 -2 -1],[ 1  1  0  0  1  1  2  0  0],[ 1  1  1  1  1  0  1  0  0]]",True,"[-1,-1,0,0,0,0,1,1,-1,1,1,1,2,1,1,0,0,2,2,0,1,-1,1,-1,0,1,-1,-1,1,1,1,1,0,2,1,0]","[-1,-1,0,0,0,0,1,1,-1,-1,-1,1,1,1,2,-1,0,0,0,1,1,1,-1,-1,0,-1,-1,1,1,0,-1,0,0,0,1,0]",t^8+34t^6+197t^4+47t^2,"[-1,-1,0,0,0,0,1,1,0,-1,0,0,1,1,2,0,0,1,0,1,1,1,-1,1,-1,-1,-1,1,0,1,-1,0,-1,0,1,-1]","[-1,-1,0,0,0,0,1,1,-1,-1,-1,1,1,1,2,-1,0,0,0,1,1,1,-1,-1,0,-1,-1,1,1,0,-1,0,0,0,1,0]","[-1,-1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,2,0,1,1,-1,-1,2,1,1,1,0,1,1,0,1,2,2,-1]",c,"[[{8, 1}, {5, 7}, {4, 6}, {2, 3}], [{8, 3}, {6, 7}, {1, 5}, {2, 4}], [{8, 4}, {2, 7}, {1, 6}, {3, 5}], [{8, 6}, {3, 7}, {2, 5}, {1, 4}], [{8, 7}, {3, 6}, {2, 5}, {1, 4}]]",1,- 20 K_1^2 + 10 K_2 + 11,O1O2U3O4O5U2U5O6U1O7U6O8U7O3U8U4,O1O2U3O4U2O5U4O6U5O7O8U7U1O3U8U6,O1O2U3O4U5O3U6O5U7O6O8U4U1O7U8U2,c,{'O1O2U3O4O5U2U6O3U7O6U8O7U5O8U1U4'},1,"<a href=""/flatknot/8.1224502"">8.1224502</a>",t^9-34t^7-86t^6+3t^5+124t^4-2t^3-76t^2+12t+16,0,,
8.1224503,O1O2U3O4O5U2U6O3U7O6U1O8U4O7U8U5,3,19z^2+78z+81,19w^3z^2+78w^2z+81w,False,False,"[[ 0 -1 -1  0  0  2  0  0  0],[ 1  0  1 -1  1  1  2  1  0],[ 1 -1  0  1  0  1  2  0  1],[ 0  1 -1  0  1  2 -1  0 -1],[ 0 -1  0 -1  0  1  0  1  0],[-2 -1 -1 -2 -1  0 -3  0 -1],[ 0 -2 -2  1  0  3  0 -1  1],[ 0 -1  0  0 -1  0  1  0  0],[ 0  0 -1  1  0  1 -1  0  0]]","[[ 0  2  0  0  0  0  0 -1 -1],[-2  0  0 -1 -1 -2 -3 -1 -1],[ 0  0  0  0 -1  0  1  0 -1],[ 0  1  0  0  0  1 -1 -1  0],[ 0  1  1  0  0 -1  0  0 -1],[ 0  2  0 -1  1  0 -1 -1  1],[ 0  3 -1  1  0  1  0 -2 -2],[ 1  1  0  1  0  1  2  0 -1],[ 1  1  1  0  1 -1  2  1  0]]",True,"[-2,0,0,0,0,0,1,1,0,1,1,2,3,1,1,0,1,0,-1,0,1,0,-1,1,1,0,1,0,0,1,1,1,-1,2,2,1]","[-2,0,0,0,0,0,1,1,-1,0,1,1,2,2,2,1,0,1,-1,-1,-1,1,-1,0,0,2,0,1,1,0,0,0,1,1,0,-1]",t^8+37t^6+283t^4+194t^2,"[-1,-1,0,0,0,0,0,2,-1,-1,0,0,1,2,2,-1,1,1,0,0,2,0,1,-1,-1,-1,-1,0,1,1,0,0,2,-1,1,0]","[-2,0,0,0,0,0,1,1,-1,0,1,1,2,2,2,1,0,1,-1,-1,-1,1,-1,0,0,2,0,1,1,0,0,0,1,1,0,-1]","[-1,-1,0,0,0,0,0,2,-1,0,0,1,1,2,1,1,1,-1,0,2,1,-1,0,0,1,0,-1,0,0,1,-1,-1,2,-1,1,3]",c,"[[{8, 1}, {3, 7}, {4, 6}, {2, 5}], [{8, 1}, {3, 7}, {6}, {2, 5}, {4}], [{8, 1}, {5, 7}, {4, 6}, {2, 3}], [{8, 1}, {5, 7}, {6}, {4}, {2, 3}], [{8, 2}, {3, 7}, {4, 6}, {1, 5}], [{8, 2}, {3, 7}, {6}, {1, 5}, {4}], [{8, 5}, {3, 7}, {4, 6}, {1, 2}], [{8, 5}, {3, 7}, {6}, {4}, {1, 2}], [{8, 6}, {1, 7}, {3, 5}, {2, 4}], [{8, 6}, {1, 7}, {3, 5}, {4}, {2}]]",1,- 6 K_1^2 + 3 K_2 + 4,O1O2U3O4O5U1U6O7U2O6U5O8U7O3U8U4,O1O2U3O4U2O5U6O7U4O6O8U5U1O3U7U8,O1O2U3O4U2O5U6O3U7O6O8U1U4O7U8U5,c,{'O1O2U3O4O5U2U6O3U7O6U1O8U4O7U8U5'},1,"<a href=""/flatknot/8.1224503"">8.1224503</a>",t^9-35t^7-100t^6-40t^5+158t^4+207t^3+62t^2-40t-24,-t^2+2t,,
8.1224504,O1O2U3O4O5U2U6O3U7O6U4O8U1O7U8U5,4,2z^3+28z^2+107z+119,2w^4z^3+28w^3z^2+107w^2z+119w,False,False,"[[ 0 -1 -1  0  0  2  0  0  0],[ 1  0  0  0  0  2  2  1  0],[ 1  0  0  1  0  1  2  0  0],[ 0  0 -1  0  1  2 -1  0  0],[ 0  0  0 -1  0  0  0  1 -1],[-2 -2 -1 -2  0  0 -3  0 -1],[ 0 -2 -2  1  0  3  0 -1  1],[ 0 -1  0  0 -1  0  1  0  0],[ 0  0  0  0  1  1 -1  0  0]]","[[ 0  2  0  0  0 -1 -1],[-2  0  0 -1 -3 -1 -2],[ 0  0  0 -1  0  0  0],[ 0  1  1  0 -1  0  0],[ 0  3  0  1  0 -2 -2],[ 1  1  0  0  2  0  0],[ 1  2  0  0  2  0  0]]",False,"[-2,0,0,0,1,1,0,1,3,1,2,1,0,0,0,1,0,0,2,2,0]","[-2,0,0,0,1,1,-1,1,2,1,2,1,0,-1,-1,1,1,1,1,1,0]",t^6+25t^4+51t^2+4,"[-1,-1,0,0,0,2,0,-1,1,1,1,-1,1,1,2,-1,0,-1,-1,1,2]","[-2,0,0,0,1,1,-1,1,2,1,2,1,0,-1,-1,1,1,1,1,1,0]","[-1,-1,0,0,0,2,0,0,0,2,1,0,0,2,2,-1,0,0,-1,1,3]",c,"[[{8, 2}, {3, 7}, {1, 6}, {4, 5}], [{8, 4}, {3, 7}, {1, 6}, {2, 5}], [{8, 4}, {3, 7}, {2, 6}, {1, 5}], [{8, 4}, {3, 7}, {5, 6}, {1, 2}], [{8, 4}, {5, 7}, {1, 6}, {2, 3}], [{8, 5}, {3, 7}, {2, 6}, {1, 4}], [{8, 5}, {3, 7}, {6}, {1, 4}, {2}], [{8, 7}, {1, 6}, {2, 5}, {3, 4}], [{8, 7}, {2, 6}, {1, 5}, {3, 4}], [{8, 7}, {5, 6}, {3, 4}, {1, 2}]]",1,- 14 K_1^2 + 7 K_2 + 8,O1O2U3O4O5U1U6O7U5O6U2O8U7O3U8U4,O1O2U3O4U2O5U6O7U4O6O8U7U1O3U5U8,O1O2U3O4U2O5U6O3U7O6O8U1U5O7U8U4,c,{'O1O2U3O4O5U2U6O3U7O6U4O8U1O7U8U5'},1,"<a href=""/flatknot/8.1224504"">8.1224504</a>",t^7-23t^5-42t^4+12t^3+48t^2+8t,-t^2+2t,,
8.1224505,O1O2U3O4O5U2U6O3U7O6U4O8U5O7U1U8,4,2z^3+26z^2+105z+123,2w^4z^3+26w^3z^2+105w^2z+123w,False,False,"[[ 0 -1 -1  0  0  1  0  0  1],[ 1  0 -1  1  0  2  1  0  1],[ 1  1  0  1  0  1  2 -1  1],[ 0 -1 -1  0  1  1 -1  1  0],[ 0  0  0 -1  0  1  0  0  0],[-1 -2 -1 -1 -1  0 -1  0  0],[ 0 -1 -2  1  0  1  0 -1  2],[ 0  0  1 -1  0  0  1  0  1],[-1 -1 -1  0  0  0 -2 -1  0]]","[[ 0  1  1  0  0  0  0 -1 -1],[-1  0  0  0  0 -1 -2 -1 -1],[-1  0  0 -1 -1  0 -1 -1 -2],[ 0  0  1  0  1  1 -1 -1 -1],[ 0  0  1 -1  0  0  0  0  0],[ 0  1  0 -1  0  0  1  1  0],[ 0  2  1  1  0 -1  0 -2 -1],[ 1  1  1  1  0 -1  2  0  1],[ 1  1  2  1  0  0  1 -1  0]]",True,"[-1,-1,0,0,0,0,1,1,0,0,0,1,2,1,1,1,1,0,1,1,2,-1,-1,1,1,1,0,0,0,0,-1,-1,0,2,1,-1]","[-1,-1,0,0,0,0,1,1,-1,-1,0,1,2,1,1,0,0,1,1,0,1,-1,0,1,0,-1,-1,-1,0,1,0,0,1,1,0,0]",t^8+28t^6+149t^4+174t^2+16,"[-1,-1,0,0,0,0,1,1,-1,-1,0,1,2,1,1,0,0,1,1,0,1,-1,0,1,0,-1,-1,-1,0,1,0,0,1,1,0,0]","[-1,-1,0,0,0,0,1,1,0,-1,0,1,1,1,1,0,1,0,0,0,1,-1,0,1,0,-1,0,-1,1,2,-1,1,1,0,0,-1]","[-1,-1,0,0,0,0,1,1,-1,0,0,1,1,1,2,-1,0,1,2,1,1,0,-1,1,1,0,-1,0,0,1,-1,0,1,2,1,0]",c,"[[{8, 2}, {1, 7}, {4, 6}, {3, 5}], [{8, 2}, {1, 7}, {6}, {3, 5}, {4}], [{8, 2}, {3, 7}, {4, 6}, {1, 5}], [{8, 2}, {3, 7}, {6}, {1, 5}, {4}], [{8, 2}, {5, 7}, {4, 6}, {1, 3}], [{8, 2}, {5, 7}, {6}, {4}, {1, 3}]]",1,- 12 K_1^2 + 6 K_2 + 7,O1O2U3O4O5U6U5O7U1O6U2O8U7O3U8U4,O1O2U3O4U2O5U6O7U4O8O6U8U1O3U5U7,O1O2U3O4U1O5U6O3U7O6O8U4U5O7U8U2,c,{'O1O2U3O4O5U2U6O3U7O6U4O8U5O7U1U8'},1,"<a href=""/flatknot/8.1224505"">8.1224505</a>",t^9-28t^7-64t^6+33t^5+196t^4+133t^3-24t^2-43t-14,0,,
8.1224506,O1O2U3O4O5U2U6O3U7O6U5O8U1O7U8U4,4,2z^3+22z^2+93z+115,2w^4z^3+22w^3z^2+93w^2z+115w,False,False,"[[ 0 -1 -1  0  1  1  0  0  0],[ 1  0  0  0  1  0  2  1  0],[ 1  0  0  1  1  0  2  0  0],[ 0  0 -1  0  1  2 -1  0  0],[-1 -1 -1 -1  0  1 -2  0 -1],[-1  0  0 -2 -1  0 -1  0 -1],[ 0 -2 -2  1  2  1  0 -1  1],[ 0 -1  0  0  0  0  1  0  0],[ 0  0  0  0  1  1 -1  0  0]]","[[ 0  1  1  0  0  0  0 -1 -1],[-1  0  1  0 -1 -1 -2 -1 -1],[-1 -1  0  0 -1 -2 -1  0  0],[ 0  0  0  0  0  0  1  0 -1],[ 0  1  1  0  0  0 -1  0  0],[ 0  1  2  0  0  0 -1 -1  0],[ 0  2  1 -1  1  1  0 -2 -2],[ 1  1  0  0  0  1  2  0  0],[ 1  1  0  1  0  0  2  0  0]]",True,"[-1,-1,0,0,0,0,1,1,-1,0,1,1,2,1,1,0,1,2,1,0,0,0,0,-1,0,1,0,1,0,0,1,1,0,2,2,0]","[-1,-1,0,0,0,0,1,1,-1,-1,0,0,1,2,2,0,-1,0,1,1,1,-1,0,0,0,1,1,-1,-1,-1,0,1,1,1,0,0]",t^8+28t^6+120t^4+85t^2+16,"[-1,-1,0,0,0,0,1,1,0,-1,0,1,1,1,2,-1,1,0,1,1,2,-1,1,-1,-1,0,0,0,0,-1,0,1,1,0,0,-1]","[-1,-1,0,0,0,0,1,1,-1,-1,0,0,1,2,2,0,-1,0,1,1,1,-1,0,0,0,1,1,-1,-1,-1,0,1,1,1,0,0]","[-1,-1,0,0,0,0,1,1,0,0,0,1,2,0,1,0,1,0,2,0,1,0,0,-1,1,1,0,-1,2,1,1,0,0,1,2,-1]",c,"[[{8, 1}, {5, 7}, {4, 6}, {2, 3}], [{8, 2}, {4, 7}, {5, 6}, {1, 3}], [{8, 2}, {4, 7}, {6}, {5}, {1, 3}], [{8, 3}, {6, 7}, {2, 5}, {1, 4}], [{8, 4}, {1, 7}, {2, 6}, {3, 5}], [{8, 5}, {2, 7}, {1, 6}, {3, 4}], [{8, 5}, {7}, {1, 6}, {3, 4}, {2}], [{8}, {6, 7}, {2, 5}, {1, 4}, {3}]]",1,- 12 K_1^2 + 6 K_2 + 7,O1O2U3O4O5U2U6O7U5O6U1O8U7O3U8U4,O1O2U3O4U2O5U6O7U4O6O8U7U1O3U8U5,O1O2U3O4U2O5U6O3U7O6O8U5U1O7U8U4,c,{'O1O2U3O4O5U2U6O3U7O6U5O8U1O7U8U4'},1,"<a href=""/flatknot/8.1224506"">8.1224506</a>",t^9-28t^7-48t^6+76t^5+164t^4-t^3-64t^2-13t+2,0,,
8.1224507,O1O2U3O4O5U2U6O3U7O6U5O8U4O7U1U8,4,2z^3+23z^2+86z+97,2w^4z^3+23w^3z^2+86w^2z+97w,False,False,"[[ 0 -1 -1  0  0  1  0  0  1],[ 1  0 -1  1  1  1  1  0  1],[ 1  1  0  1  1  0  2 -1  1],[ 0 -1 -1  0  0  2 -1  1  0],[ 0 -1 -1  0  0  0  0  0  0],[-1 -1  0 -2  0  0 -1  0 -1],[ 0 -1 -2  1  0  1  0 -1  2],[ 0  0  1 -1  0  0  1  0  1],[-1 -1 -1  0  0  1 -2 -1  0]]","[[ 0  1  1  0  0  0  0 -1 -1],[-1  0  1  0  0 -1 -2 -1 -1],[-1 -1  0  0 -2  0 -1  0 -1],[ 0  0  0  0  0  0  0 -1 -1],[ 0  0  2  0  0  1 -1 -1 -1],[ 0  1  0  0 -1  0  1  1  0],[ 0  2  1  0  1 -1  0 -2 -1],[ 1  1  0  1  1 -1  2  0  1],[ 1  1  1  1  1  0  1 -1  0]]",True,"[-1,-1,0,0,0,0,1,1,-1,0,0,1,2,1,1,0,2,0,1,0,1,0,0,0,1,1,-1,1,1,1,-1,-1,0,2,1,-1]","[-1,-1,0,0,0,0,1,1,-1,-1,0,0,2,1,2,0,0,0,1,1,1,-1,0,1,-1,0,0,-1,1,-1,0,1,1,0,1,-1]",t^8+28t^6+135t^4+155t^2+9,"[-1,-1,0,0,0,0,1,1,-1,-1,0,0,2,1,2,0,0,0,1,1,1,-1,0,1,-1,0,0,-1,1,-1,0,1,1,0,1,-1]","[-1,-1,0,0,0,0,1,1,-1,-1,0,1,1,1,2,1,-1,0,1,1,1,-1,1,0,0,0,-1,0,0,-1,0,1,2,0,0,-1]","[-1,-1,0,0,0,0,1,1,-1,0,1,1,1,1,1,-1,1,1,2,0,1,-1,0,1,0,1,0,-1,2,0,0,0,0,1,2,-1]",c,"[[{8, 1}, {4, 7}, {3, 6}, {2, 5}]]",0,- 8 K_1^2 + 4 K_2 + 5,O1O2U3O4O5U6U5O7U2O6U1O8U7O3U8U4,O1O2U3O4U2O5U6O7U4O8O6U8U1O3U7U5,O1O2U3O4U1O5U6O3U7O6O8U5U4O7U8U2,c,{'O1O2U3O4O5U2U6O3U7O6U5O8U4O7U1U8'},1,"<a href=""/flatknot/8.1224507"">8.1224507</a>",t^9-28t^7-58t^6+35t^5+116t^4+3t^3-30t^2-13t-34,0,,
8.1224508,O1O2U3O4O5U2U6O3U1O7U5O6U4O8U7U8,4,3z^3+34z^2+110z+109,3w^4z^3+34w^3z^2+110w^2z+109w,False,False,"[[ 0 -1 -1  0  0  1  0  0  1],[ 1  0  1  0  1  1  1  1  0],[ 1 -1  0  1  1  0  1  2  0],[ 0  0 -1  0  0  1  0 -1  1],[ 0 -1 -1  0  0  1 -1  1  1],[-1 -1  0 -1 -1  0 -1  0  1],[ 0 -1 -1  0  1  1  0  0  0],[ 0 -1 -2  1 -1  0  0  0  1],[-1  0  0 -1 -1 -1  0 -1  0]]","[[ 0  1  1  0  0  0  0 -1 -1],[-1  0  1  0 -1 -1 -1  0 -1],[-1 -1  0 -1  0 -1 -1  0  0],[ 0  0  1  0  0  1 -1 -2 -1],[ 0  1  0  0  0  0  1 -1 -1],[ 0  1  1 -1  0  0  0 -1  0],[ 0  1  1  1 -1  0  0 -1 -1],[ 1  0  0  2  1  1  1  0 -1],[ 1  1  0  1  1  0  1  1  0]]",True,"[-1,-1,0,0,0,0,1,1,-1,0,1,1,1,0,1,1,0,1,1,0,0,0,-1,1,2,1,0,-1,1,1,0,1,0,1,1,1]","[-1,-1,0,0,0,0,1,1,-1,0,0,0,1,1,2,-1,0,0,0,2,2,0,1,-1,1,0,-1,0,0,1,0,0,0,0,0,-1]",t^8+22t^6+104t^4+109t^2+9,"[-1,-1,0,0,0,0,1,1,-1,0,0,0,1,1,2,-1,0,0,0,2,2,0,1,-1,1,0,-1,0,0,1,0,0,0,0,0,-1]","[-1,-1,0,0,0,0,1,1,-1,0,0,0,1,2,2,0,0,1,0,1,2,0,-1,0,1,0,1,-1,0,0,0,0,-1,0,0,1]","[-1,-1,0,0,0,0,1,1,-1,1,1,1,2,0,0,0,1,1,1,0,1,0,0,-1,1,1,-1,1,1,1,0,0,1,1,0,-1]",c,"[[{8, 1}, {4, 7}, {3, 6}, {2, 5}], [{8, 2}, {1, 7}, {5, 6}, {3, 4}], [{8, 2}, {1, 7}, {5, 6}, {4}, {3}], [{8, 2}, {5, 7}, {1, 6}, {3, 4}], [{8, 2}, {5, 7}, {1, 6}, {4}, {3}], [{8, 2}, {6, 7}, {1, 5}, {3, 4}], [{8, 2}, {6, 7}, {1, 5}, {4}, {3}]]",1,- 4 K_1^2 + 2 K_2 + 3,O1O2U3O4O5U6U7O6U2O8U1O7U5O3U8U4,O1O2U3O4U5O6U2O7U8O5O8U4U1O3U7U6,O1O2U1O3U4O5U2O6U7O4O8U5U3O7U8U6,c,{'O1O2U3O4O5U2U6O3U1O7U5O6U4O8U7U8'},1,"<a href=""/flatknot/8.1224508"">8.1224508</a>",t^9-22t^7-36t^6+40t^5+70t^4-41t^3-24t^2+48t+14,0,,
8.1224509,O1O2U3O4O5U2U6O3U1O7U5O6U7O8U4U8,3,7z^2+44z+61,7w^3z^2+44w^2z+61w,False,False,"[[ 0 -1 -1  0  0  1  0  0  1],[ 1  0  1  0  1  1  1  0  1],[ 1 -1  0  1  1  0  1  1  1],[ 0  0 -1  0  0  1  0  0  0],[ 0 -1 -1  0  0  0  0  0  1],[-1 -1  0 -1  0  0 -1  0  0],[ 0 -1 -1  0  0  1  0  0  1],[ 0  0 -1  0  0  0  0  0  0],[-1 -1 -1  0 -1  0 -1  0  0]]","[[ 0  1  1  0  0  0 -1 -1],[-1  0  0  0  0 -1  0 -1],[-1  0  0  0 -1  0 -1 -1],[ 0  0  0  0  0  0 -1  0],[ 0  0  1  0  0  0 -1 -1],[ 0  1  0  0  0  0 -1  0],[ 1  0  1  1  1  1  0 -1],[ 1  1  1  0  1  0  1  0]]",False,"[-1,-1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1]","[-1,-1,0,0,0,1,1,-1,0,1,1,1,1,0,0,0,1,2,0,0,0,1,0,1,0,1,1,0]",t^7+10t^5+21t^3+8t,"[-1,-1,0,0,0,1,1,-1,0,1,1,1,1,0,0,0,1,2,0,0,0,1,0,1,0,1,1,0]","[-1,-1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,2,0,0,0,0,0,1,0,1,0,1]","[-1,-1,0,0,0,1,1,-1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0]",c,"[[{8, 1}, {3, 7}, {4, 6}, {2, 5}], [{8, 1}, {3, 7}, {6}, {2, 5}, {4}], [{8, 1}, {4, 7}, {3, 6}, {2, 5}], [{8, 1}, {4, 7}, {6}, {2, 5}, {3}], [{8, 1}, {6, 7}, {2, 5}, {3, 4}], [{8, 1}, {6, 7}, {2, 5}, {4}, {3}], [{8, 1}, {7}, {3, 6}, {2, 5}, {4}], [{8, 1}, {7}, {4, 6}, {2, 5}, {3}], [{8, 1}, {7}, {6}, {2, 5}, {3, 4}], [{8, 1}, {7}, {6}, {2, 5}, {4}, {3}], [{8, 2}, {6, 7}, {1, 5}, {3, 4}], [{8, 2}, {7}, {6}, {1, 5}, {3, 4}], [{8, 3}, {5, 7}, {2, 6}, {1, 4}], [{8, 3}, {5, 7}, {6}, {1, 4}, {2}], [{8, 6}, {1, 7}, {4, 5}, {2, 3}], [{8}, {1, 7}, {6}, {4, 5}, {2, 3}]]",1,- 12 K_1^2 + 6 K_2 + 7,O1O2U3O4O5U6U2O6U7O8U1O7U5O3U8U4,O1O2U3O4U5O6U2O5U7O8O7U4U1O3U8U6,O1O2U1O3U4O5U3O6U7O4O8U5U2O7U8U6,c,"{'O1O2U3O4O5U2U6O3U1O7U5O6U7O8U4U8', 'O1O2U3O4U1U5O6O3U7U4O5O8U2U6O7U8', 'O1O2U3U4O5O6U7U2O4O8U6U1O7U8O3U5'}",3,"<a href=""/flatknot/8.1224509"">8.1224509</a>",t^8-10t^6-10t^5+7t^4+8t^3+2t^2,0,,
8.1224510,O1O2U3O4O5U2U6O3U5O7U8O6U1O8U4U7,4,z^3+16z^2+66z+77,w^4z^3+16w^3z^2+66w^2z+77w,False,False,"[[ 0 -1 -1  0  0  1  0  1  0],[ 1  0  0  0  0  1  1  0  2],[ 1  0  0  1  1  0  1  1  1],[ 0  0 -1  0  0  1  0  1 -1],[ 0  0 -1  0  0  1 -2  0  1],[-1 -1  0 -1 -1  0 -1 -1  0],[ 0 -1 -1  0  2  1  0  2 -1],[-1  0 -1 -1  0  1 -2  0 -1],[ 0 -2 -1  1 -1  0  1  1  0]]","[[ 0  1  1  0  0  0  0 -1 -1],[-1  0  1  0 -1 -1 -2  0 -1],[-1 -1  0 -1  0 -1 -1 -1  0],[ 0  0  1  0  1  0 -2  0 -1],[ 0  1  0 -1  0  1  1 -2 -1],[ 0  1  1  0 -1  0  0  0 -1],[ 0  2  1  2 -1  0  0 -1 -1],[ 1  0  1  0  2  0  1  0  0],[ 1  1  0  1  1  1  1  0  0]]",True,"[-1,-1,0,0,0,0,1,1,-1,0,1,1,2,0,1,1,0,1,1,1,0,-1,0,2,0,1,-1,-1,2,1,0,0,1,1,1,0]","[-1,-1,0,0,0,0,1,1,-1,0,0,0,1,1,2,-1,0,1,0,2,1,0,2,-1,0,0,0,-1,1,0,1,1,0,-1,0,0]",t^8+28t^6+192t^4+258t^2+1,"[-1,-1,0,0,0,0,1,1,0,-1,0,1,1,1,2,0,0,0,0,2,1,-1,-1,1,1,0,0,-2,0,-1,0,0,0,0,1,1]","[-1,-1,0,0,0,0,1,1,-1,0,0,0,1,1,2,-1,0,1,0,2,1,0,2,-1,0,0,0,-1,1,0,1,1,0,-1,0,0]","[-1,-1,0,0,0,0,1,1,0,0,0,1,2,0,1,1,1,1,1,1,0,0,-2,1,0,1,0,-1,1,1,-1,2,1,1,0,1]",c,"[[{8, 3}, {2, 7}, {4, 6}, {1, 5}], [{8, 4}, {2, 7}, {3, 6}, {1, 5}]]",1,- 8 K_1^2 + 4 K_2 + 5,O1O2U3O4O5U6U2O7U5O8U7O6U1O3U8U4,O1O2U3O4U5O6U2O7U6O8O5U7U1O3U8U4,O1O2U3O4U5O3U1O6U7O5O8U6U2O7U8U4,c,"{'O1O2U3O4U5O3U6U2O5U1O7O6U7O8U4U8', 'O1O2U3O4O5U2U6O3U5O7U8O6U1O8U4U7'}",2,"<a href=""/flatknot/8.1224510"">8.1224510</a>",t^9-28t^7-42t^6+70t^5+48t^4-101t^3+86t^2-16t-18,0,,
